Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Andrew Wiggins,,KANSAS,,35,0,32.8,5.4,12.06,0.448,1.23,3.6,0.341,4.17,8.46,0.493,0.499,5.03,6.49,0.775,2.17,3.69,5.86,1.54,1.17,0.97,2.29,2.69,17.06,,
2,Jabari Parker,,DUKE,,35,0,30.69,6.74,14.26,0.473,1.09,3.03,0.358,5.66,11.23,0.504,0.511,4.57,6.11,0.748,3.0,5.74,8.74,1.17,1.06,1.23,2.31,2.37,19.14,,
3,Joel Embiid,,KANSAS,,28,0,23.11,3.82,6.11,0.626,0.04,0.18,0.2,3.79,5.93,0.639,0.629,3.5,5.11,0.685,2.32,5.79,8.11,1.36,0.89,2.57,2.36,3.36,11.18,,
4,Aaron Gordon,,ARIZONA,,38,0,31.24,4.97,10.05,0.495,0.42,1.18,0.356,4.55,8.87,0.513,0.516,2.0,4.74,0.422,2.68,5.29,7.97,1.97,0.89,1.03,1.45,2.37,12.37,,
5,Marcus Smart,,OKSTATE,,31,0,32.71,5.26,12.45,0.422,1.58,5.29,0.299,3.68,7.16,0.514,0.486,5.87,8.06,0.728,1.42,4.48,5.9,4.77,2.87,0.58,2.65,2.94,17.97,,
6,Julius Randle,,KENTUCKY,,40,0,30.82,4.9,9.78,0.501,0.07,0.45,0.167,4.83,9.32,0.517,0.505,5.1,7.22,0.706,3.48,6.92,10.4,1.43,0.5,0.78,2.52,2.27,14.97,,
7,Nik Stauskas,,MICHIGAN,,36,0,35.58,5.14,10.94,0.47,2.56,5.78,0.442,2.58,5.17,0.5,0.586,4.67,5.67,0.824,0.42,2.5,2.92,3.28,0.56,0.31,1.86,1.31,17.5,,
8,Noah Vonleh,,INDIANA,,30,0,26.47,3.77,7.2,0.523,0.53,1.1,0.485,3.23,6.1,0.53,0.56,3.2,4.47,0.716,2.37,6.6,8.97,0.6,0.87,1.37,2.13,2.7,11.27,,
9,Elfrid Payton,,ULALA,,35,0,35.94,6.77,13.31,0.509,0.4,1.54,0.259,6.37,11.77,0.541,0.524,5.26,8.63,0.609,2.31,3.69,6.0,5.94,2.29,0.6,3.63,2.37,19.2,,
10,Doug McDermott,,CREIGHTON,,35,0,33.74,9.43,17.91,0.526,2.74,6.11,0.449,6.69,11.8,0.567,0.603,5.09,5.89,0.864,1.63,5.34,6.97,1.57,0.23,0.14,1.77,1.91,26.69,,
11,Zach LaVine,,UCLA,,37,0,24.43,3.43,7.78,0.441,1.3,3.46,0.375,2.14,4.32,0.494,0.524,1.27,1.84,0.691,0.49,2.05,2.54,1.78,0.89,0.16,1.14,1.97,9.43,,
12,T.J. Warren,,NCSTATE,,35,0,35.37,9.77,18.63,0.525,0.89,3.31,0.267,8.89,15.31,0.58,0.548,4.46,6.46,0.69,3.23,3.91,7.14,1.14,1.8,0.6,2.37,2.77,24.89,,
13,Adreian Payne,,MICHIGANST,,31,0,28.06,5.74,11.42,0.503,1.42,3.35,0.423,4.32,8.06,0.536,0.565,3.52,4.45,0.79,1.55,5.71,7.26,1.32,0.48,0.9,2.03,2.58,16.42,,
14,James Young,,KENTUCKY,,40,0,32.4,4.58,11.25,0.407,2.05,5.88,0.349,2.52,5.38,0.47,0.498,3.12,4.42,0.706,1.02,3.25,4.28,1.68,0.75,0.2,1.88,2.08,14.32,,
15,Tyler Ennis,,SYRACUSE,,34,0,35.74,4.35,10.59,0.411,0.88,2.5,0.353,3.47,8.09,0.429,0.453,3.35,4.38,0.765,0.79,2.59,3.38,5.5,2.09,0.18,1.71,2.03,12.94,,
16,Gary Harris,,MICHIGANST,,35,0,32.31,5.57,13.0,0.429,2.31,6.57,0.352,3.26,6.43,0.507,0.518,3.29,4.06,0.81,1.06,2.94,4.0,2.69,1.8,0.43,1.71,2.09,16.74,,
17,Mitch McGary,,MICHIGAN,,8,0,24.75,3.75,6.88,0.545,0.0,0.25,0.0,3.75,6.62,0.566,0.545,2.0,3.0,0.667,2.88,5.38,8.25,1.5,1.88,0.75,1.62,3.12,9.5,,
18,Jordan Adams,,UCLA,,36,0,30.06,5.78,11.92,0.485,1.44,4.06,0.356,4.33,7.86,0.551,0.545,4.39,5.25,0.836,1.86,3.47,5.33,2.33,2.64,0.14,1.5,2.17,17.39,,
19,Rodney Hood,,DUKE,,35,0,32.86,5.46,11.77,0.464,2.03,4.83,0.42,3.43,6.94,0.494,0.55,3.11,3.86,0.807,0.83,3.11,3.94,2.14,0.71,0.26,1.54,2.6,16.06,,
20,Shabazz Napier,,UCONN,,40,0,35.1,5.33,12.4,0.429,2.17,5.38,0.405,3.15,7.03,0.448,0.517,5.17,5.95,0.87,0.95,4.9,5.85,4.88,1.82,0.33,2.85,2.1,18.0,,
21,C.J. Wilcox,,WASHINGTON,,32,0,34.88,6.16,13.59,0.453,2.81,7.19,0.391,3.34,6.41,0.522,0.556,3.22,3.69,0.873,0.69,3.03,3.72,2.53,1.0,1.0,1.69,2.34,18.34,,
22,Josh Huestis,,STANFORD,,36,0,35.17,4.33,9.61,0.451,0.72,2.14,0.338,3.61,7.47,0.483,0.488,1.78,2.83,0.627,2.53,5.67,8.19,1.19,0.58,1.92,1.19,2.11,11.17,,
23,Kyle Anderson,,UCLA,,36,0,33.22,5.03,10.47,0.48,0.78,1.61,0.483,4.25,8.86,0.48,0.517,3.81,5.17,0.737,1.25,7.5,8.75,6.47,1.78,0.75,3.06,1.67,14.64,,
24,K.J. McDaniels,,CLEMSON,,36,0,33.67,5.81,12.64,0.459,1.17,3.83,0.304,4.64,8.81,0.527,0.505,4.28,5.08,0.842,2.39,4.69,7.08,1.58,1.14,2.78,2.31,2.22,17.06,,
25,Joe Harris,,VIRGINIA,,37,0,28.81,4.03,9.14,0.441,1.95,4.86,0.4,2.08,4.27,0.487,0.547,1.97,3.08,0.64,0.59,2.35,2.95,2.27,0.95,0.22,1.3,2.38,11.97,,
26,Cleanthony Early,,WICHITAST,,36,0,27.39,5.19,10.72,0.484,1.83,4.92,0.373,3.36,5.81,0.579,0.57,4.19,4.97,0.844,1.33,4.58,5.92,0.75,0.81,0.78,1.94,2.31,16.42,,
27,Jarnell Stokes,,TENNESSEE,,37,0,32.41,5.38,10.14,0.531,0.0,0.0,0.0,5.38,10.14,0.531,0.531,4.32,6.22,0.696,4.19,6.41,10.59,2.03,0.7,0.92,2.08,1.97,15.08,,
28,Johnny O'Bryant,,LSU,,34,0,30.0,5.94,12.03,0.494,0.03,0.09,0.333,5.91,11.94,0.495,0.495,3.47,5.47,0.634,3.0,4.71,7.71,1.62,0.5,0.91,3.18,3.18,15.38,,
29,DeAndre Daniels,,UCONN,,38,0,29.03,4.95,10.55,0.469,1.32,3.16,0.417,3.63,7.39,0.491,0.531,1.84,2.34,0.787,1.45,4.55,6.0,0.45,0.68,1.42,1.47,2.37,13.05,,
30,Spencer Dinwiddie,,COLORADO,,17,0,31.12,3.59,7.71,0.466,1.53,3.71,0.413,2.06,4.0,0.515,0.565,6.0,7.0,0.857,0.47,2.59,3.06,3.76,1.53,0.24,1.76,1.88,14.71,,
31,Jerami Grant,,SYRACUSE,,32,0,31.41,4.16,8.38,0.496,0.0,0.16,0.0,4.16,8.22,0.506,0.496,3.75,5.56,0.674,2.44,4.34,6.78,1.38,0.81,0.56,1.16,2.34,12.06,,
32,Glenn Robinson III,,MICHIGAN,,37,0,32.27,4.92,10.08,0.488,0.89,2.92,0.306,4.03,7.16,0.562,0.532,2.35,3.11,0.757,1.46,2.97,4.43,1.19,0.95,0.3,1.24,1.49,13.08,,
33,Nick Johnson,,ARIZONA,,38,0,33.08,5.39,12.47,0.432,1.63,4.45,0.367,3.76,8.03,0.469,0.498,3.84,4.92,0.781,0.82,3.24,4.05,2.82,1.13,0.66,1.68,2.0,16.26,,
34,Markel Brown,,OKSTATE,,34,0,35.32,5.59,11.82,0.473,1.62,4.26,0.379,3.97,7.56,0.525,0.541,4.38,5.71,0.768,1.06,4.21,5.26,2.91,1.0,1.03,1.62,2.53,17.18,,
35,Dwight Powell,,STANFORD,,36,0,32.42,4.86,10.53,0.462,0.28,1.08,0.256,4.58,9.44,0.485,0.475,4.03,5.86,0.687,1.94,4.92,6.86,3.11,1.31,0.83,2.89,3.14,14.03,,
36,Jordan Clarkson,,MISSOURI,,35,0,35.09,5.97,13.34,0.448,0.91,3.26,0.281,5.06,10.09,0.501,0.482,4.63,5.57,0.831,0.8,3.03,3.83,3.37,1.09,0.17,2.66,2.17,17.49,,
37,Russ Smith,,LOUISVILLE,,37,0,29.3,6.08,13.0,0.468,1.89,4.89,0.387,4.19,8.11,0.517,0.541,4.14,5.86,0.705,0.78,2.51,3.3,4.65,2.0,0.11,2.84,2.49,18.19,,
38,Lamar Patterson,,PITT,,36,0,32.61,5.61,12.72,0.441,2.22,5.72,0.388,3.39,7.0,0.484,0.528,3.67,4.86,0.754,0.97,3.89,4.86,4.28,1.42,0.33,2.58,2.03,17.11,,
39,Cameron Bairstow,,NMEXICO,,34,0,32.91,6.97,12.53,0.556,0.03,0.09,0.333,6.94,12.44,0.558,0.558,6.44,8.76,0.735,2.24,5.15,7.38,1.56,0.56,1.5,2.0,2.12,20.41,,
40,Alec Brown,,WISCGB,,30,0,30.3,5.5,11.57,0.476,1.4,3.33,0.42,4.1,8.23,0.498,0.536,2.93,4.03,0.727,2.1,3.6,5.7,1.0,0.5,3.13,2.17,2.23,15.33,,
41,Semaj Christon,,XAVIER,,34,0,35.29,5.91,12.35,0.479,0.56,1.44,0.388,5.35,10.91,0.491,0.501,4.62,6.91,0.668,0.44,2.24,2.68,4.18,1.32,0.24,2.62,2.12,17.0,,
42,Devyn Marble,,IOWA,,33,0,30.15,5.55,13.21,0.42,1.58,4.52,0.349,3.97,8.7,0.456,0.479,4.3,6.03,0.714,0.79,2.42,3.21,3.58,1.82,0.21,1.73,1.94,16.97,,
43,Jordan McRae,,TENNESSEE,,37,0,32.16,6.03,13.84,0.436,2.14,6.08,0.351,3.89,7.76,0.502,0.513,4.51,5.73,0.788,0.7,2.76,3.46,2.46,0.68,1.03,2.08,2.11,18.7,,
44,Xavier Thames,,SANDIEGOST,,36,0,31.28,5.22,12.69,0.411,1.69,4.53,0.374,3.53,8.17,0.432,0.478,5.44,6.53,0.834,0.58,2.31,2.89,3.22,1.64,0.14,1.42,1.97,17.58,,
45,Cory Jefferson,,BAYLOR,,38,0,29.03,4.84,9.68,0.5,0.37,1.0,0.368,4.47,8.68,0.515,0.519,3.61,5.63,0.64,2.82,5.39,8.21,0.97,0.39,1.29,1.34,2.18,13.66,,
46,Willie Cauley-Stein,,KENTUCKY,,37,0,23.78,2.86,4.81,0.596,0.0,0.0,0.0,2.86,4.81,0.596,0.596,1.08,2.24,0.482,2.54,3.54,6.08,0.68,1.19,2.86,0.84,2.65,6.81,,
47,Frank Kaminsky,,WISCONSIN,,38,0,27.16,5.16,9.76,0.528,0.97,2.58,0.378,4.18,7.18,0.582,0.578,2.66,3.47,0.765,2.13,4.18,6.32,1.29,0.68,1.74,1.03,2.53,13.95,,
48,Cameron Payne,,MURRAYST,,34,0,32.68,5.59,13.82,0.404,2.12,6.21,0.341,3.47,7.62,0.456,0.481,3.53,4.56,0.774,0.29,3.32,3.62,5.44,1.68,0.59,3.24,2.82,16.82,,
49,Terry Rozier,,LOUISVILLE,,37,0,18.89,2.51,6.27,0.401,0.97,2.62,0.371,1.54,3.65,0.422,0.478,1.0,1.41,0.712,0.76,2.32,3.08,1.81,1.03,0.05,0.59,1.46,7.0,,
50,Sam Dekker,,WISCONSIN,,38,0,29.84,4.42,9.42,0.469,1.11,3.39,0.326,3.32,6.03,0.55,0.528,2.47,3.61,0.686,1.71,4.37,6.08,1.37,0.76,0.58,1.08,1.37,12.42,,
51,Jerian Grant,,NOTREDAME,,12,0,35.58,6.0,11.58,0.518,1.67,4.08,0.408,4.33,7.5,0.578,0.59,5.33,6.17,0.865,0.33,2.17,2.5,6.17,2.0,0.33,1.83,2.0,19.0,,
52,Delon Wright,,UTAH,,33,0,36.42,5.27,9.39,0.561,0.36,1.64,0.222,4.91,7.76,0.633,0.581,4.64,5.85,0.793,1.27,5.52,6.79,5.27,2.48,1.3,2.55,1.85,15.55,,
53,Justin Anderson,,VIRGINIA,,37,0,21.59,2.59,6.38,0.407,0.81,2.76,0.294,1.78,3.62,0.493,0.47,1.84,2.57,0.716,0.7,2.54,3.24,1.46,0.35,0.76,1.38,1.57,7.84,,
54,Bobby Portis,,ARKANSAS,,34,0,27.0,4.74,9.29,0.509,0.26,0.97,0.273,4.47,8.32,0.537,0.524,2.56,3.47,0.737,2.53,4.24,6.76,1.47,1.03,1.59,1.21,1.74,12.29,,
55,Rondae Hollis-Jefferson,,ARIZONA,,38,0,25.26,3.18,6.5,0.49,0.05,0.26,0.2,3.13,6.24,0.502,0.494,2.71,3.97,0.682,2.18,3.47,5.66,1.45,0.74,1.05,1.16,2.42,9.13,,
56,Jarell Martin,,LSU,,32,0,26.16,3.78,8.03,0.471,0.84,2.53,0.333,2.94,5.5,0.534,0.523,1.94,2.81,0.689,1.75,2.81,4.56,0.91,0.84,0.69,1.62,2.44,10.34,,
57,Larry Nance Jr.,,WYOMING,,26,0,34.69,5.65,10.38,0.544,0.35,1.42,0.243,5.31,8.96,0.592,0.561,3.73,4.92,0.758,1.35,7.27,8.62,1.62,1.42,2.12,1.69,2.81,15.38,,
58,R.J. Hunter,,GEORGIAST,,33,0,33.52,5.48,12.36,0.444,3.03,7.67,0.395,2.45,4.7,0.523,0.566,4.3,4.88,0.882,0.33,4.24,4.58,1.73,1.91,0.94,1.18,2.33,18.3,,
59,Montrezl Harrell,,LOUISVILLE,,37,0,29.27,6.03,9.89,0.609,0.05,0.08,0.667,5.97,9.81,0.609,0.612,1.92,4.14,0.464,3.24,5.16,8.41,1.22,1.03,1.32,1.43,2.41,14.03,,
60,Jordan Mickey,,LSU,,34,0,32.82,5.06,9.47,0.534,0.0,0.15,0.0,5.06,9.32,0.543,0.534,2.68,3.85,0.695,2.26,5.59,7.85,1.06,0.62,3.12,2.29,2.18,12.79,,
61,Anthony Brown,,STANFORD,,36,0,33.5,3.94,8.31,0.475,1.47,3.25,0.453,2.47,5.06,0.489,0.564,2.94,3.75,0.785,0.92,4.08,5.0,2.08,0.86,0.11,1.94,1.86,12.31,,
62,Rakeem Christmas,,SYRACUSE,,34,0,23.62,2.24,3.65,0.613,0.0,0.0,0.0,2.24,3.65,0.613,0.613,1.32,1.82,0.726,2.09,2.97,5.06,0.68,0.47,1.94,0.76,3.15,5.79,,
63,Richaun Holmes,,BOWLGREEN,,32,0,32.0,4.69,9.25,0.507,0.38,1.25,0.3,4.31,8.0,0.539,0.527,3.53,5.0,0.706,2.69,4.97,7.66,0.91,1.12,2.75,1.81,2.81,13.28,,
64,Darrun Hilliard,,VILLANOVA,,34,0,29.15,4.62,9.5,0.486,2.06,4.97,0.414,2.56,4.53,0.565,0.594,3.0,4.18,0.718,0.88,2.76,3.65,2.65,1.29,0.5,2.24,2.0,14.29,,
65,Josh Richardson,,TENNESSEE,,37,0,30.38,3.76,7.92,0.474,0.92,2.7,0.34,2.84,5.22,0.544,0.532,1.86,2.35,0.793,0.78,2.08,2.86,1.51,0.73,0.81,1.0,2.14,10.3,,
66,Pat Connaughton,,NOTREDAME,,32,0,37.19,4.84,10.72,0.452,2.38,6.28,0.378,2.47,4.44,0.556,0.563,1.72,2.06,0.833,1.19,5.91,7.09,2.97,1.03,0.56,1.09,1.78,13.78,,
67,Olivier Hanlan,,BOSTONCOLL,,32,0,36.25,5.41,12.09,0.447,1.91,5.5,0.347,3.5,6.59,0.531,0.526,5.78,7.12,0.811,0.38,3.06,3.44,2.91,0.78,0.06,2.44,2.56,18.5,,
68,Joe Young,,OREGON,,34,0,31.15,6.06,12.62,0.48,2.24,5.38,0.415,3.82,7.24,0.528,0.569,4.56,5.18,0.881,0.76,2.06,2.82,1.94,1.29,0.03,1.15,1.38,18.91,,
69,Andrew Harrison,,KENTUCKY,,40,0,31.68,3.02,8.25,0.367,0.82,2.35,0.351,2.2,5.9,0.373,0.417,3.98,5.2,0.764,0.8,2.35,3.15,3.98,0.53,0.23,2.73,2.98,10.85,,
70,Marcus Thornton,,WILLMARY,,32,0,35.59,6.09,14.0,0.435,2.91,7.22,0.403,3.19,6.78,0.47,0.539,3.62,4.66,0.779,0.22,2.06,2.28,2.81,1.06,0.22,2.38,1.78,18.72,,
71,Norman Powell,,UCLA,,37,0,25.73,4.14,7.76,0.533,0.54,1.84,0.294,3.59,5.92,0.607,0.568,2.59,3.32,0.78,0.65,2.19,2.84,1.7,1.38,0.38,1.03,2.3,11.41,,
72,Dakari Johnson,,KENTUCKY,,39,0,14.1,2.1,3.69,0.569,0.0,0.0,0.0,2.1,3.69,0.569,0.569,0.97,2.18,0.447,2.03,1.92,3.95,0.28,0.23,0.59,0.64,2.03,5.18,,
73,Aaron White,,IOWA,,33,0,28.06,4.33,7.42,0.584,0.24,0.94,0.258,4.09,6.48,0.631,0.6,3.94,4.88,0.807,1.73,4.97,6.7,1.82,0.97,0.58,1.79,1.18,12.85,,
74,Tyler Harvey,,EWASHINGTN,,31,0,37.35,6.65,15.0,0.443,3.52,8.13,0.433,3.13,6.87,0.455,0.56,5.03,5.61,0.897,0.68,3.48,4.16,2.71,1.13,0.29,2.13,2.29,21.84,,
75,Sir'Dominic Pointer,,STJOHNS,,33,0,21.15,2.03,4.64,0.438,0.09,0.61,0.15,1.94,4.03,0.481,0.448,1.73,2.36,0.731,0.55,2.61,3.15,1.85,1.21,1.06,1.21,2.15,5.88,,
76,Cady Lalanne,,UMASS,,33,0,28.97,4.39,7.94,0.553,0.06,0.24,0.25,4.33,7.7,0.563,0.557,2.48,3.7,0.672,3.12,4.82,7.94,0.18,0.52,2.15,1.79,2.58,11.33,,
77,Branden Dawson,,MICHIGANST,,28,0,28.29,4.86,7.93,0.613,0.0,0.04,0.0,4.86,7.89,0.615,0.613,1.5,2.29,0.656,2.96,5.36,8.32,1.64,1.25,0.89,1.29,1.46,11.21,,
78,J.P. Tokoto,,UNC,,34,0,28.68,3.79,7.76,0.489,0.24,1.06,0.222,3.56,6.71,0.531,0.504,1.44,2.88,0.5,1.91,3.88,5.79,3.06,1.62,0.53,1.88,2.71,9.26,,
79,Kris Dunn,,PROVIDENCE,,4,0,26.5,1.5,4.75,0.316,0.0,0.5,0.0,1.5,4.25,0.353,0.316,0.75,0.75,1.0,0.25,2.25,2.5,5.0,1.75,0.25,3.5,2.25,3.75,,
80,Buddy Hield,,OKLAHOMA,,33,0,32.09,5.94,13.33,0.445,2.73,7.06,0.386,3.21,6.27,0.512,0.548,1.91,2.55,0.75,1.76,2.67,4.42,1.88,1.39,0.15,1.82,2.18,16.52,,
81,Taurean Prince,,BAYLOR,,38,0,14.26,2.08,4.47,0.465,0.39,1.08,0.366,1.68,3.39,0.496,0.509,1.61,2.26,0.709,1.05,1.71,2.76,0.61,0.53,0.18,1.34,2.05,6.16,,
82,Denzel Valentine,,MICHIGANST,,38,0,29.37,2.84,6.97,0.408,1.13,3.0,0.377,1.71,3.97,0.43,0.489,1.16,1.71,0.677,1.24,4.76,6.0,3.79,0.97,0.32,1.82,2.58,7.97,,
83,Caris LeVert,,MICHIGAN,,37,0,34.0,4.41,10.03,0.439,1.62,3.97,0.408,2.78,6.05,0.46,0.52,2.49,3.24,0.767,0.51,3.81,4.32,2.95,1.19,0.27,1.68,1.7,12.92,,
84,DeAndre' Bembry,,STJOSEPHS,,34,0,32.56,4.21,9.18,0.458,1.06,3.06,0.346,3.15,6.12,0.514,0.516,2.68,4.59,0.583,1.09,3.41,4.5,2.71,0.94,0.56,2.53,2.59,12.15,,
85,Brice Johnson,,UNC,,34,0,19.44,4.41,7.79,0.566,0.0,0.0,0.0,4.41,7.79,0.566,0.566,1.5,2.41,0.622,2.26,3.88,6.15,0.88,0.74,1.26,1.18,2.79,10.32,,
86,Damian Jones,,VANDY,,31,0,25.74,4.45,8.19,0.543,0.0,0.0,0.0,4.45,8.19,0.543,0.543,2.35,4.32,0.545,1.84,3.84,5.68,0.23,0.29,1.39,1.81,3.35,11.26,,
87,Malcolm Brogdon,,VIRGINIA,,37,0,31.43,4.05,9.81,0.413,1.19,3.22,0.37,2.86,6.59,0.434,0.474,3.41,3.89,0.875,0.89,4.54,5.43,2.73,1.19,0.14,1.43,1.92,12.7,,
